Competency,Question,Answer,Topics,Level Of Questions
Salesforce,How to achieve Lazy Loading in aura component? ,Easiest way to implement lazy loading in aura component is : We can set enableInfiniteLoading attribute in Lightning data table to enable infinite load. ,Aura,Hard
Salesforce,How we can use Aura component apps outside of Salesforce servers? ,Using Lightning Out. ,Aura,Medium
Salesforce,Explain bound and unbound expressions in aura?,"Bound Expression: Bound Expression is represented as {!v.messageText}. Whenever the value of the string is changed, this expression will reflect the change and also affect the components where it is used, we can say the value change dynamically through this expression.Unbound Expression: Unbound Expression is represented as {#v.messageText}. Whenever the value of the string is changed, this expression will not reflect the change, we can say the value remains static through this expression.",Aura,Easy
Salesforce,Can we refer lightning aura component inside Lightning web component?,Lightning web component can be used inside an aura component in Salesforce whereas Aura Component cannot be used in Lightning Web component. The goal is to pass value to LWC from parent aura component.,Aura,Easy
Salesforce,Which interface should you use if you want your component to be available for all pages?,You can use the flexipage:availableForAllPageTypes interface.,Aura,Easy
Salesforce,Which interface should you use if you want your component to be used a quick action?,You can use the force:lightningQuickAction interface.,Aura,Easy
Salesforce,Which interface should you use if you want to navigate to a component?,,Aura,Easy
Salesforce,Have you used force:recordData? Where and what is the advantage?,"force:recordData is a standard controller of a Lightning Component. We can perform an operation such as creating a record, editing a record,deleting a record using force:recordData. If we are using force:recordData, it identifies and eliminates the duplicate request going to the server if they are requesting for the same record data (which in turn improves performance).",Aura,Medium
Salesforce,How many different levels are there for Lightning Record Page assignment? What are they?  ,"Lightning Pages can be assigned at three different levels:The org default
App default – this overrides the assignment done at the org level
App, record type, profile – this overrides the assignment done at org level and at the App level.",Aura,Medium
Salesforce,"How to use lightning components in an external site like sharepoint, sap etc ?",By “Lightning out” we can use lightning components in an external site.,Aura,Medium
Salesforce,How to call Parent Component method from child component without using events?,Yes. By using aura:action but the recommended way is to use Component Event.,Aura,Medium
Salesforce,you are asked to override the standard action using lightning component how you will achieve this?,"Lightning:actionOverride  interface Enables a component to be used as an override for a standard action. We can override the View, New, Edit, and Tab standard actions on most standard and all custom components. The component needs to implement the interface Lightning:actionOverrideafter which the component appears in the Lightning Component Bundle menu of an object action Override Properties panel",Aura,Hard
Salesforce,What is lightning namespace? ,"a. Namespaces are prefix which are used to prevent duplicates. Every component is a part of lightening namespace. There are three types of lightening namespace, they are: i. Lightening 
ii. Aura 
iii. Force ",Aura,Easy
Salesforce,What are component attributes in salesforce? ,"a. Component attributes are like member variables on a class in Apex. Attributes make components more dynamic. 
b. An attribute name must follow these naming rules: 
i. Must begin with a letter or an underscore 
ii. Must contain only alphanumeric or underscore characters ",Aura,Easy
Salesforce,What are the advantages of lightning component framework? ,"Component reuse across Salesforce, maximizing developer productivity 
Easy extensibility of app functionality 
Custom components: download them from AppExchange or create your own 
Builders that help you create responsive designs that are optimized for mobile devices 
Base components that work great across device form factors ",Aura,Easy
Salesforce,What are the two ways to ways to build user interfaces (UI) in Lightning Experience? ,"Low-code: Point-and-click tools to implement business logic or build user interfaces. It includes Lightning pages, Quick actions, URL buttons, Utility bar, Flows. 
Pro-code tools to write your own code and fully customize your apps. It includes Lightning Web Components, Aura Components, Visualforce. ",Aura,Medium
Salesforce,Explain the different types of events in salesforce? ,"a. Event-driven programming is used in many languages and frameworks. Events are fired from JavaScript controller actions that are typically triggered by a user interface. 
b. There are two types of events in the framework: 
i. Component events: Component event is fired from child to parent. Component needs to specify name before registering event handler. 
ii. Application events: Application event is fired across all the components. Component needs to register handler to execute code from application event. ",Aura,Medium
Salesforce,What is difference between Visualforce Components and Lightning Components? ,"Visualforce components are page-centric and most of the work is done on the server. Lightning is designed from the component up, rather than having the concept of a page as its fundamental unit. Lightning Components are client-side centric, which makes them more dynamic and mobile friendly. ",Aura,Medium
Salesforce,What is CSS in lightning components? ,"a. CSS is cascading style sheet which is used for the decoration of the web pages. They are of three ways to style aura components, they are: i. Inline CSS: The inline style uses inside HTML tags as a “style” attribute. Generally inline CSS is used to decorate for single HTML. ii. External CSS: As the name says that there is an external file that stores all the code of common styles and that file is uploaded in salesforce using static resources and that can be used in lightening aura component. iii. Style tab in component bundle: This is standard way to add the styling in the lightening application. In the lightening component there is option of create a style bundle resource that is present in right side of your workspace. ",Aura,
Salesforce,What is locker console? ,"It is used to quickly evaluate your JavaScript code for issues or benchmark code. It need not require creating an app to test the component. It can only evaluate only JavaScript code in the Locker Console, it cannot evaluate a complete component bundle or component markup. ",Aura,Medium
Salesforce,What is lightning locker? ,Lightning Locker is a powerful security architecture for Lightning components. Lightning Locker enhances security by isolating Lightning components that belong to one namespace from components in a different namespace. ,Aura,
Salesforce,What are lightning security considerations? ,"a. Third-party Lightning components and apps operate in a special domain (lightning.force.com) that is shared with Salesforce-authored Lightning, which controls many sensitive security settings. b. Visualforce applications are served from a different domain (force.com) that is not shared with Salesforce code. Because Lightning code shares the same origin as Salesforce-authored code, increased restrictions are placed on third-party Lightning code. 
c. These restrictions are enforced by Lightning Locker and a special Content Security Policy. There is also additional scrutiny in the AppExchange security review. ",Aura,Medium
Salesforce,Explain Aura framework and its architecture? ,"Component resources contain mark-up and have a .cmp suffix. The mark-up can contain text or references to other components and declares metadata about the component. 
User Actions initiates components. Init event is raised calling controller function. 
JavaScript Controller:  
This JavaScript controller handles events within a component. It is a JavaScript resource that defines the functions for all the component’s actions. 
Example: 
myAction: function (cmp, event, helper) { 
// add code for the action 
} 
Each action function takes in three parameters: 
Cmp: The component to which the controller belongs. 
Event: The event that the action is handling. 
Helper: Helper contains functions that can be reused by any JavaScript code in the component bundle. 
JavaScript Helper:  
Helper method queues action, Lightening framework calls Apex Method (). 
Apex Controller Class:  
@auraEnable apex action method is invoked, and data is returned. 
JavaScript Call back Functions:  
JavaScript call back functions are invoked upon return from apex controller classes methods. 
JavaScript helper call back functions processes logic to load the lightning components list attributes. ",Aura,Hard
Salesforce,What are lightning components resources? ,"Open the developer console, in that create a new lightening component, there are component configuration mentioned in the following: Lightning Tab 
Lightning Page 
Lightning Record Page 
Lightning Communities Page 
Lightning Quick Action 
Then after this your workspace is opened with component by default created, and on the right side there are resources they are as follows: 
Controller: Contains Client-Side Controller methods to handle the events in the Component. 
Helper: JavaScript functions that can be called from java script code in a component bundle. 
Style: Contains CSS styles for the components 
Documentation: A detailed description, sample code, references to the components. 
Renderer: Client-Side renderer to override default rendering for a component. 
Design: File required for components used in lightening app builder, flow builder. 
SVG: Custom icon resource for components used in lightening app builder. ",Aura,Hard
Salesforce,What are expressions in salesforce? ,"It is used to make calculations and access the data within component mark up. Use expressions for dynamic output. Syntax: {! expression} Ex: {! v. courseName} 
Note: This syntax is only used in mark up (.app or .cmp files), but in JavaScript use string syntax to evaluate an expression (“v.courseName”). 
Different types of expressions are as follows: 
Bound Expression: Whenever the value is changed, the expression will reflect the change and affect that value in the component. This is dynamic change. 
Syntax: {! value} 
Unbound Expression: Whenever the value is changed, the expression will not reflect the change and static value will be displayed in the component. This is static in nature. 
Syntax: {# value} ",Aura,Hard
Salesforce,What is cross origin resource sharing? ,"Cross-Origin Resource Sharing is a mechanism by which data, or any other resource of a site could be shared intentionally to a third-party website when there is a need. Generally, access to resources that are residing in a third-party site is restricted by the browser clients for security purposes.  ",Aura,Hard
Salesforce,What options are there for Lightning Record Page assignment? ,"“Lightning Pages” can be assigned at three different levels: 
- The org default 
- App default – this overrides the assignment done at the org level 
- App, record type, profile – this overrides the assignment done at org level and at the App level. ",Aura,Medium
Salesforce,What are component events? ,Component events are events which are fired by child components and handled by the parent component. We can make use of this event when we need to pass a value from a child component to parent component. ,Aura,Medium
Salesforce,What are application events? ,"Application events can be fired from any component and can be handled by any component. They do not require any kind of relationship between the components, but these components must be a part of a single application. ",Aura,Medium
Salesforce,What is Lightning Out? ,"If you want to use your component on an external site, you will need to use Lightning Out. The best advantage of Lightning Out is you can use the Lightning Component inside a Visualforce page and vice versa.  ",Aura,Hard
Salesforce,Why we use $A.enqueAction in Lightning Controller?  ,"Call a server-side controller action from a client-side controller. In the client-side controller, you set a callback, which is called after the server-side action is completed  ",Aura,Hard
Salesforce,Why we use setCallback in lightning controller?  ,setCallback() is used to handle the Asynchronous calls in JavaScript. The use of setCallback() is to capture the return from a asynchronous call from server and perform action after its return.  ,Aura,Hard
Salesforce,If there is already a controller what is the necessity of having helper in lightning bundle?  ,Controller in the lightning bundle handles the client side code whether helper handles the server side code. ,Aura,Hard
Salesforce,If I have created a custom object can it be used as a standard controller? ,"Yes, we can custom objects also as a standard controller. ",Aura,Medium
Salesforce,What is Lightning Bundle contains? Explain each parameter.  ,"A component bundle contains a component or an app and all its related resources  
Component: The only required resource in a bundle. Contains markup for the component or app. Each bundle contains only one component or app resource. 
CSS Styles: Contains styles for the component. 
Controller: Contains client-side controller methods to handle events in the component. 
Design: File required for components used in Lightning App Builder, Lightning pages, Experience Builder, or Flow Builder. 
Documentation: A description, sample code, and one or multiple references to example components 
Renderer: Client-side renderer to override default rendering for a component. 
Helper: JavaScript functions that can be called from any JavaScript code in a component’s bundle 
SVG File: Custom icon resource for components used in the Lightning App Builder or Experience Builder. ",Aura,Hard
Salesforce,You are having a requirement to pass value from child component to parent component which type of event you will use?,We will use Component event. Component event are used in case when there is a relationship between component. Component Events are fired by the child components and handled by the parent component.,Aura,Hard
Salesforce,You are having a requirement to pass value from one component to other component which are not related but a part of same application which type of event you will use?,We will make use of Application event. Application event are the event handle by any component no matter what relationship between them but they should be inside single application.,Aura,Hard
Salesforce,Is Lightning an MVC framework? ,"No, it is a component-based framework ",Aura,Medium
Salesforce,What 2 benefits we get by writing controllers? ,We get Logic & Data. ,Aura,Medium
Salesforce,What will happen if we forgot to enable mydomain?,"You will be able to create component but myDomain is required to view Lightning component inside App/Record Page, you will receive a error for enabling the myDomain.",Aura,Easy
Salesforce,How to obtain the id of the current record in lightning component? ,We need to add force:hasRecordId interface to a Lightning component to enable the component to be assigned the ID of the current record.,Aura,Easy
Salesforce,Events in aura,"Events are used when we need to pass value from one component to another component, there are 3 events in aura: Application Event, Component Event, System Event",Aura,Easy
Salesforce,How can I convert my JavaScript button in lightning?,"1. Login here using your org credential here: https://lightning-configuration.salesforce.com/ 2. Click on javascript button tab
3. Detect for all javascript button. it will list all js buttons.
4. Pick the target one and convert and deploy it.",Aura,Hard
Salesforce,Concept of locker service,Locker Service is a security architecture for Lightning components. Locker Service enhances security by isolating Lightning components that belong to one namespace from components in a different namespace.,Aura,Hard
Salesforce,How can we use a lightning component in a VisaulForce Page? Explain?,"Lightning component can be added to Visualforce page in three steps:
·       We have to first Add the Lightning Components for Visualforce JavaScript library to your targetted Visualforce page using the tag.
·       Next we have to create and refer a Lightning app which is used to the component dependencies.
·       Lastly we need to write a JavaScript function which will finally create the the component on the page using $Lightning.createComponent()",Aura,Medium
Salesforce,Which interface we are supposed to implement so that a lightning component can be used as quick action? ,We need to implement the following “force: lightningquickaction” so that we can use the component as a Quick Action.,Aura,Easy
Salesforce,"On load of lightning component, you are required to execute some action what you will do to achieve this?",We can call that action on init handler’s action method.,Aura,Easy
Salesforce,"Suppose I have one custom object Employee, on which I have only three field name, age and salary, I have created a lightning component with three field and save button, once a user insert age as negative value or negative salary it should throw an error.",on change/onclick of save button we will check the value in both field if any of them is less than zero we will show error message on UI.,Aura,Hard
Salesforce,What is the use of global action in the controller?,"$A.enqueueAction(action), It's used to execute the server side logic",Aura,Medium
Salesforce,can we write void method in lightning?,No,Aura,Easy
Salesforce,How to get the response from callback?,reponse.getReturnValue(),Aura,Medium
Salesforce,How to get the state in controller?,response.getState(),Aura,Medium
Salesforce,How to go from one lightning page to another lightning page through a click?,"var urlEvent = $A.get(""e.force:navigateToURL"");",Aura,Medium
Salesforce,Best practices for lightning?,"(Some of them will also help)
·       Do not put so many console logs.
·       Make the use of Salesforce lightning design system for consistent ui design.
·       Make the use of Lightning data services to avoid server calls for Dml operations.
·       Use unbounded expressions if the data across components are not required to be in synch.
·       Before you decide to use a third-party library in a Lightning component, you should reevaluate if
·       you really need that library. DOM manipulation libraries (like jQuery) and UI libraries (like Bootstrap or jQuery UI) in particular may no longer be needed when working with the Lightning Component Framework.
·       When possible, use the (sprite-based) Lightning Design System icons (using <lightning:icon> and <lightning:buttonIcon>) instead of custom icons.
·       Salesforce is slower for users who have debug mode enabled. So, do not enable in Production.
·       When appropriate consider passing the data in different components(using attributes,events or methods) rather than retrieving the same data in different components.
·       When making a call to the server limit the columns and rows of the result set. Only select the columns you need. 
·       Set a limit on the query and provide paging mechanisum if needed. Don’t return huge number of rows at once.
·       Consider combining several requests(actions) in a single composite request.
·       Cache the data when possible.
·       Caching the data at the client side can significantly reduce the number of server round trips and improve the performance tips. A storable action is a server action whose response is stored in the in the client cache so that subsequent requests for the same server method with the same set of arguments can be accessed from that cache.
·       Try to limit number of event handlers in your Lightning component. As you can guess, multiple event handler means your component would be busy in listening event changes resulting in performance overload.
·       Always try to use a component event instead of an application event, if possible. Component events can only be handled by components above them in the containment hierarchy so their usage is more localized to the components that need to know about them. 
·       Application events are best used for something that should be handled at the application level, such as navigating to a specific record. Application events allow communication between components that are in separate parts of the application and have no direct containment relationship.
·       Use helper methods.
·       To improve runtime performance, set @AuraEnabled(cacheable=true) to cache the method results on the client. To set cacheable=true, a method must only get data. It can’t mutate data.",Aura,Easy
Salesforce,Where we can use Lightning Components?,"We can use Lightning Components in the following places:
·       Drag-and-drop Components in the Lightning App Builder and Community Builder.
·       Add Lightning Components to Lightning Pages.
·       Add Lightning Components to Lightning Experience Record Pages.
·       Launch a Lightning Component as a Quick Action
·       Override Standard Actions with Lightning Components
·       Create Stand-Alone Apps",Aura,Easy
Salesforce,Which interface should you use if you want your component to be available for all pages?,You can use the flexipage:availableForAllPageTypes interface.,Aura,Easy
Salesforce,Which interface should you use if you want to override a standard action?,You will need to use the Lightning:actionOverride interface.,Aura,Easy
Salesforce,Which interface should you use if you want your component to be available only on the record home page?,You will need to use the flexipage:availableForRecordHome interface.,Aura,Easy
Salesforce,Which interface should you use if you want your component to be used a tab?,You will need to use the force:appHostable interface.,Aura,Easy
Salesforce,Which interface should you use if you want your component to be used a quick action?,You will need to use the force:lightningQuickAction interface.,Aura,Easy
Salesforce,How we can use component in the community builder?,Implements “forceCommunity:availableForAllPageTypes” interface on the component.,Aura,Medium
Salesforce,"What is force:recordData, and what are its advantages?","force:recordData is a standard controller of a Lightning Component. We can perform an operation such as creating a record, editing a record,deleting a record using force:recordData. If we are using force:recordData, it identifies and eliminates the duplicate request going to the server if they are requesting for the same record data (which in turn improves performance).",Aura,Medium
Salesforce,What are the phases in component events propagation?,"There are two phases in component event propagation.
·       Bubble Phase
·       Capture Phase",Aura,Easy
Salesforce,What are the phases in application events propagation?,"There are three phases in component event propagation.
·       Bubble Phase
·       Capture Phase
·       Default Phase",Aura,Easy
Salesforce,What is Lightning:overlayLibrary in Salesforce Lightning component?,"To create a modal box we use Lightning:overlayLibrary.To use Lightning:overlayLibrary in component we need to include tag <lightning:overlayLibrary aura:id=""overlayLib""/> in component, here aura:id is unique local id. Modal has header,body and footer which are customizable.",Aura,Medium
Salesforce,How many components we can create in one Application?,There is no limit.,Aura,Easy
Salesforce,How can we deploy lightning components to production org?,"we can deploy component by using managed packages, Force.com IDE, Force.com Migration Tool or Change Sets.",Aura,Easy
Salesforce,How we can access Custom Label in Lightning?,Syntax : $A.get(“$Label.namespace.labelName”),Aura,Medium
Salesforce,What is renderer?,If you want to override the standard rendering mechanism in salesforce lightning then we should go with renderer,Aura,Medium
Salesforce,How we can access Custom Label in Lightning? ,Syntax : $A.get(“$Label.namespace.labelName”) ,Aura,Medium
Salesforce,How can you define field level security in Lightning Components?,"Use Lightning:recordForm, Lightning:recordEditForm, Lightning:recordViewForm, force:recordData.",Aura,Medium
Salesforce,Why Salesforce introduced LWC when Aura components was already there?,"When Aura Components were published ES6 was not launched and since ES6 is launched a lot had changed in the JavaScript world and browsers also matured a lot. The major problem with Aura Components is when a new feature is launched in ES6 that has to be ported to Aura Components if need be, whereas in LWC once an update is released straight away, we can use it in LWC.",Aura,Medium
Salesforce,How can you handle the component event? Write the syntax.,"Component events can be handled either by aura:handler or directly from child component declaration tag. For example, if c:secondComponent fires a component event named “onBack” than you can handle that directly from c:firstComponent like below: <c:secondComponent onBack=“{!c.handleBack}” />",Aura,Easy
Salesforce,Why is it advisable to not fire an event in rendering loop?,"Firing an event in a renderer can cause an infinite rendering loop.
Don’t do this!
afterRender: function(cmp, helper) {
   this.superAfterRender();
   $A.get(""e.myns:mycmp"").fire();
}
Instead, use the init hook to run a controller action after component construction but before rendering. Add this code to your component:
<aura:handler name=""init"" value=""{!this}"" action=""{!c.doInit}""/>",Aura,Medium
Salesforce,Why do we still need Visualforce when lightning is already available?,"Visualforce provides the facility for delivering template-driven web pages and email messages. In addition, developers wishing to simply utilize a basic container and maintain more control over the lifecycle of the request may choose Visualforce pages. Finally, organizations that can’t use Apex code can’t use Lightning Components, but they can use Visualforce.",Aura,Medium
Salesforce,How to access Lightning Message Service in Aura?,"To access Lightning message service in Aura, use the lightning:messageChannel component. A message is a serializable JSON object. Examples of data that you can pass in a message include strings, numbers, Booleans, and objects. A message cannot contain functions and symbols. The lightning:messageChannel component is only available in Lightning Experience.",Aura,Hard
Salesforce,What is the Difference between Lightning tags and Force tags?,"The main difference between the Lightning tags and force tags is force tags works as apex:inputField tags work on the VF page. For example, if we are using forceInputField for the picklist field then it will show the input in picklist format with the respected values. It also supports the lookup/master input fields.",Aura,Easy
Salesforce,Consider a scenario where you have created a component dynamically and it is not needed anymore? What will be your approach?,"If you create a component dynamically in JavaScript and that component isn't added to a facet (v.body or another attribute of type Aura.Component[]), you have to destroy it manually using Component.destroy() to avoid memory leaks.",Aura,Hard
Salesforce,How can one disable Lightning Locker for an Aura Component?,"You can disable Lightning Locker for a component by setting API version 39.0 or lower for the component. If a component is set to at least API version 40.0, Lightning Locker is enabled.",Aura,Medium
Salesforce,What are some of the tools you can use to create aura components?,"Aura Components can be developed using your favorite IDE (VS Code, Eclipse, IntelliJ) or directly through Developer console.",Aura,Easy
Salesforce,How to share Lightning Out Apps with non-authenticated users?,"Add the ltng:allowGuestAccess interface to your Lightning Out dependency app to make it available to users without requiring them to authenticate with Salesforce. This interface lets you build your app with Aura components, and deploy it anywhere and to anyone. If a user is authenticated with the Lightning Out endpoint, the session must be set in $Lightning.use().",Aura,Hard
Salesforce,Can we call one helper method from another helper method?,"Yes, Helper file methods can be called from controller methods, other helper methods or from renderer file methods as well. Helper file is designed to put reusable code hence this code can be called from all javascript resource files.",Aura,Medium
Salesforce,How to cancel an asynchronous request in a flow action?,"If an asynchronous request times out, the flow executes the local action's fault connector and sets $Flow.FaultMessage to the error message. However, the original request isn't automatically canceled. To abort an asynchronous request, use the cancelToken parameter available in the invoke method.",Aura,Hard
Salesforce,"While working with component event, if you want to stop further propagation of the event. How would you achieve that?",stopPropagation() method is used to stop further propagation of the event. This will stop the event at current element itself and it will not traverse the rest of the path.,Aura,Medium
Salesforce,How to find source/root of component event?,"In the client-side controller action for a tag, use evt.getSource() to find out which component fired the event, where evt is a reference to the event. To retrieve the source element, use evt.getSource().getElement().",Aura,Medium
Salesforce,When we should use application event over component event?,"If the event needs to be handled by other components which are not part of same component hierarchy, then only application events should be used. This widely used in components designed for app builder page.",Aura,Easy
Salesforce,Do application events need to be registered before firing?,"Unlike component event, registering application event is optional. You can fire an application event even without registering it.",Aura,Easy
Salesforce,How to get current signed in user’s id?,"$A.get(""$SObjectType.CurrentUser.Id"");",Aura,Medium
Salesforce,Which method is used to find an element using aura:id markup?,component.find() method is used to find an element from component markup using aura:id. This method returns complete element and can be used to set attribute values of element or performing any other operations like changing CSS classes etc.,Aura,Medium
Salesforce,Can LDS be used on multiple records?,"No, LDS can only be used on single records. Operations on multiple records are not supported yet.",Aura,Medium
Salesforce,Why do developers prefer using Lightning Data Service?,"·       Perform DML operations without the need of Apex Code or Server Controller.
·       Inbuilt strong cache mechanism to cache loaded information in browser.
·       If multiple components operating on same record, the record is loaded only once and shared among the components.",Aura,Easy
Salesforce,Why are callback methods used in Lightning Framework?,"Callback methods are used to execute a task after an async operation is completed. In case of Lightning Framework, we use the callback method with actions, to execute a task on the client side once server response is received.",Aura,Easy
Salesforce,How can we make another server call after we get the response from the first one?,You can make another server-side call from the callback method of the first call. This will always ensure that a 2nd server call will be made only after the response of the first one.,Aura,Medium
Salesforce,How will you navigate to a different URL or page reference from your aura component?,"Lightning:navigation is used to navigate to a given pageReference or to generate a URL from a pageReference. To navigate, we need to define a PageReference object.
Pagereference is a javascript object that references a page, providing a well-defined structure that describes the page type and its corresponding values.",Aura,Medium
Salesforce,Why do we use implements in a lightning component? ,"implement is used to implement multiple interfaces in lightning component. E.g. flexipage:availableForAllPageTypes,flexipage:availableForRecordHome,force:hasRecordId",Aura,Easy
Salesforce,Why do you use value providers in Salesforce Lightning?,"Value Providers in lightning Component encapsulate related values together and used to access data. In Salesforce lightning, we have two value providers for a component they are v (View) and c (Controller). v is component attribute set which helps to access component attribute values in markup
c is component controller helps us to link with event handlers and action for the component.",Aura,Easy
Salesforce,How can Lightning Components be used in the Salesforce1 Mobile App?,"A lightning tab has to be made, which is aimed at the lightning component which has been created. The tab then has to be included in the salesforce1 Mobile Navigation select list and the newly created tab for it.",Aura,Easy
Salesforce,How can components be deployed to the production org?,"Lightning components can be deployed to the production by change sets, force.com, IDE, and Managed Package.",Aura,Easy
Salesforce,Which collection types are supported in Aura?,"Arrays, Lists, Maps and Sets are supported in Aura Framework.",Aura,Easy
Salesforce,You are in a need of passing a value from Parent component controller to Child component controller what will you do?,   We will make use of Aura:method.,Aura,Medium
Salesforce,How will you ensure FLS while working with Lightning Component?,"FLS and CRUD are not automatically enforced in the lightning component whenever any object is referenced in the Apex Controller and the component will display the fields and records for which the users do not have access. Therefore, we should manually enforce the FLS and CRUD in the Apex Controller. ",Aura,Medium
Salesforce,Have you used loading spinner? How can we display loading spinner in lightning component?,Spinners are CSS loading indicators that should be shown when retrieving data or performing slow computations. lightning:spinner displays an animated spinner image to indicate that a request is loading. This component can be used when retrieving data or performing an operation that takes time to complete. Retrieving data. Wait a few seconds and try to cut or copy again.,Aura,Hard
Salesforce,How can we conditionally display content in lightning component?,We can use <aura:if> tag to conditionally display content in lightning component.,Aura,Easy
Salesforce,What does a FlexiPage in lightning represent and how are they stored?,FlexiPage represents the metadata associated with a Lightning page. A Lightning page represents a customizable screen made up of regions containing Lightning components. Flexi page are stored as xml file and can be deployed using metadata api or any deployment tool.,Aura,Hard
Salesforce,How does lightning out handle authentication?,"Lightning Out doesn’t handle authentication. Instead, you manually provide a Salesforce session ID or authentication token when you initialize a Lightning Out app.",Aura,Hard
Salesforce,In what ways we can obtain authentication token for using with Lightning out?,"On a Visualforce page, using Lightning Components for Visualforce, you can obtain the current Visualforce session ID using the expression {! $Api.Session_ID }. Sessions initiated using the session ID are intended for use only on Visualforce pages. 
Elsewhere, an authenticated session is obtained using OAuth, following the same process you’d use to obtain an authenticated session to use with the REST API. In this case, you obtain an OAuth token, and can use it anywhere.",Aura,Hard
Salesforce,Why design resource is added in aura bundle?,"Use a design resource to control which attributes are exposed to builder tools like the Lightning App Builder, Experience Builder, or Flow Builder. A design resource lives in the same folder as yours .cmp resource, and describes the design-time behaviour of the Aura component—information that visual tools need to display the component in a page or app.",Aura,Easy
Salesforce,Is Lightning component framework an MVC framework?,"No, it is not a MVC framework it is a component-based framework and event driven.",Aura,Easy
Salesforce,How do the bubble phase and the capture phase propagate?,Bubble phase: propagates from Bottom to Top. Capture phase: propagates from Top to Bottom.,Aura,Medium
Salesforce,How is lightning experience beneficial?,"There are many advantages of using lightning like it’s out of the box component set which enables the fast-paced creation of new apps, its event driven architecture which enables the easy decoupling between the components. Device awareness, cross browser compatibility and framework optimized for the performance.",Aura,Easy
Salesforce,"Let’s say that you have an app myApp.app that contains a component myCmp.cmp with a ui:button component. During initialization, the init() event is fired in what order?","ui:button, ui:myCmp, and myApp.app.",Aura,Hard
Salesforce,"Suppose, I want my parent component’s init method to be executed first and then the child component’s init later. How will you achieve that?","parentAuraCmp.cmp
<aura:component >
<aura:attribute name = ""showChild"" type = ""Boolean"" default = ""false""/>
<aura:handler name = ""init"" value = ""{!this}"" action = ""{!c.doInit}""/>
<aura:if isTrue = ""{!v.showChild}"">
<c:childAuraCmp></c:childAuraCmp>
</aura:if>
</aura:component>
parentAuraCmpController.js
({
              doInit : function(component, event, helper) {
                 console.log('inside parent Init');
           component.set(""v.showChild"",true);
              }
})
ChildAuraCmp.cmp
<aura:component >
<aura:handler name = ""init"" value = ""{!this}"" action = ""{!c.doInit}""/>
</aura:component>
ChildAuraCmpController.js
({
    doInit : function(component, event, helper) {
        console.log('inside child init');
}
})
myApp.app
<aura:application extends = ""force:slds"">
<c:parentAuraCmp></c:parentAuraCmp>
</aura:application>",Aura,Hard
Salesforce,How can you access a value from an attribute?,"Employ “Value Provide” which is denoted with the sign “v”, for example: <aura:attribute name=""firstName"" type=""String""/>",Aura,Easy
Salesforce,How will you utilize lightning component within a visualforce page?,"There are three steps to add Aura components to a Visualforce page.
Add the Lightning Components for Visualforce JavaScript library to your Visualforce page using the <apex:includeLightning/> component.
Create and reference a Lightning app that declares your component dependencies.
Write a JavaScript function that creates the component on the page using $Lightning.createComponent().",Aura,Medium
Salesforce,How to create popup in lightning component?,"Modals/Popup Box are used to display content in a layer above the app. This paradigm is used in cases such as the creation or editing of a record, as well as various types of messaging and wizards.",Aura,Hard
Salesforce,How is event captured in event propagation?,"The event is captured and trickles down from the application root to the source component. The event can be handled by a component in the containment hierarchy that receives the captured event.
Event handlers are invoked in order from the application root down to the source component that fired the event.
Any registered handler in this phase can stop the event from propagating, at which point no more handlers are called in this phase or the bubble phase.",Aura,Medium
Salesforce,How to get event source in JavaScript controller?,"event.getSource() method is used to identify event source. If you want to fetch local id of the element, you can use event.getSource().getLocalId() method.",Aura,Easy
Salesforce,How to reference a static resource from JavaScript?,"Use $Resource global value provider in JavaScript to refer a static resource file. Example:
$A.get('$Resource.ResourceName’) + '/assets/images/avatar1.jpg';",Aura,Medium
Salesforce,How to get browser information in component?,"Use $Browser global value provider to return information about the hardware and operating system of the browser accessing the application. Example:
var device = $A.get(""$Browser.formFactor"");
 alert(""You are using a "" + device);",Aura,Hard
Salesforce,Give some scenario where lighning Locker filters an object and returns a Proxyobject.,"Some scenarios where Lightning Locker filters an object and returns a Proxyobject are:
Passing an object to a component in a different namespace.
Passing an object from a component on API version less than 40.0 to the method of a component on API version greater than or equal to 40.0.
Calling cmp.get() to retrieve an attribute value that you set with the value of a native JavaScript object or array. The object or array isn’t filtered when it’s originally created
When you access these objects, Lightning Locker returns a Proxy object.",Aura,Hard
Salesforce,How can you store the apex method response in browser cache?,"To store the response of a server-side call, you can either of the following:
You can mark your client action as storable using setStorable() function, which stores the server response in the browser cache. Example:
 action.setStorable();
You can also mark your AuraEnabled method as cacheable, which will store the response in the browser cache. ",Aura,Hard
Salesforce,What happens when My Domain is not deployed in your org?,"When My Domain isn’t deployed in your org, user interface controls related to Lightning components may be hidden or inactive. Lightning components added to pages, tabs, and so on, don’t run and may be omitted, or display a placeholder error message.",Aura,Hard
Salesforce,Why does Lightning Component Framework use Content Security Policy?,The Lightning Component framework uses Content Security Policy (CSP) to impose restrictions on content. The main objective is to help prevent cross-site scripting (XSS) and other code injection attacks.,Aura,Hard
Salesforce,What happens when you navigate elsewhere in the UI while asynchronous code is executing?,"If you navigate elsewhere in the UI while asynchronous code is executing, the framework unrenders and destroys the component that made the asynchronous request. You can still have a reference to that component, but it is no longer valid. The cmp.isValid() call returns false for an invalid component.",Aura,Hard
